OST:StopArea:0125448001,NSR:Quay:231
OST:StopArea:0125448002,NSR:Quay:232
OST:StopArea:0125805001,NSR:Quay:233
OST:StopArea:0125805002,NSR:Quay:234
OST:StopArea:0128797001,NSR:Quay:235
OST:StopArea:0128720002,NSR:Quay:236
OST:StopArea:0128720001,NSR:Quay:237
OST:StopArea:0125313502,NSR:Quay:238
OST:StopArea:0125313501,NSR:Quay:239
OST:StopArea:0128436501,NSR:Quay:240
OST:StopArea:0128436502,NSR:Quay:241
OST:StopArea:0125445002,NSR:Quay:242
OST:StopArea:0125445001,NSR:Quay:243
OST:StopArea:0128438001,NSR:Quay:244
OST:StopArea:0128438002,NSR:Quay:245
OST:StopArea:0125443501,NSR:Quay:246
OST:StopArea:0125443502,NSR:Quay:247
OST:StopArea:0128719501,NSR:Quay:248
OST:StopArea:0128719502,NSR:Quay:249
OST:StopArea:0128721501,NSR:Quay:250
OST:StopArea:0128721502,NSR:Quay:251
OST:StopArea:0128792501,NSR:Quay:252
OST:StopArea:0128723002,NSR:Quay:253
OST:StopArea:0128723001,NSR:Quay:254
OST:StopArea:0125447002,NSR:Quay:255
OST:StopArea:0125447001,NSR:Quay:256
OST:StopArea:0125315001,NSR:Quay:257
OST:StopArea:0128440001,NSR:Quay:258
OST:StopArea:0128440002,NSR:Quay:259
OST:StopArea:0125808501,NSR:Quay:260
OST:StopArea:0125808502,NSR:Quay:261
OST:StopArea:0125316601,NSR:Quay:262
NRI:StopArea:762102188,NSR:Quay:263
NRI:StopArea:762102189,NSR:Quay:263
OST:StopArea:0125316602,NSR:Quay:263
OST:StopArea:0125444001,NSR:Quay:264
OST:StopArea:0125444002,NSR:Quay:265
OST:StopArea:0125442501,NSR:Quay:266
OST:StopArea:0125442502,NSR:Quay:267
OST:StopArea:0128716501,NSR:Quay:268
OST:StopArea:0128716502,NSR:Quay:269
OST:StopArea:0128791001,NSR:Quay:270
OST:StopArea:0128718002,NSR:Quay:271
OST:StopArea:0128718001,NSR:Quay:272
OST:StopArea:0128800001,NSR:Quay:273
OST:StopArea:0128800002,NSR:Quay:274
OST:StopArea:0128797501,NSR:Quay:275
OST:StopArea:0128797502,NSR:Quay:276
OST:StopArea:0125450002,NSR:Quay:277
OST:StopArea:0125450001,NSR:Quay:278
OST:StopArea:0128441502,NSR:Quay:279
OST:StopArea:0128441501,NSR:Quay:280
OST:StopArea:0125807002,NSR:Quay:281
OST:StopArea:0125807001,NSR:Quay:282
OST:StopArea:0125805502,NSR:Quay:283
OST:StopArea:0125805501,NSR:Quay:284
OST:StopArea:0125445502,NSR:Quay:285
OST:StopArea:0125445501,NSR:Quay:286
OST:StopArea:0125759101,NSR:Quay:287
OST:StopArea:0128438502,NSR:Quay:288
OST:StopArea:0128438501,NSR:Quay:289
OST:StopArea:0119740002,NSR:Quay:290
